order_id,order_date,sales_date,ship_date,ship_mode,outlet_type,year,customer_id,customer_name,date_of_birth,segment,product_id,product_name,category_of_goods,sub_category,location_id,country,region,state,city_type,postal_code,sale_id,sales,quantity,discount,profit
ORD000001,13-04-2020,11-03-2023,18-04-2020,Same Day,Large,2023,CUST000001,Curtis Krause,29-11-1973,Consumer,PROD000001,Burgers - 718,Fast Food,Burgers,87,India,East,West Bengal,Tier 1,700001,1,3344.69,3,0.09,448.24
ORD000002,08-01-2021,09-09-2023,11-01-2021,Standard Class,Medium,2022,CUST000002,Jeremy Foster,30-08-1987,Corporate,PROD000002,Pizzas - 519,Fast Food,Pizzas,71,India,East,Punjab,Tier 2,160001,2,37094.41,5,0.39,3134.34
ORD000003,11-08-2020,15-08-2022,16-08-2020,Second Class,Large,2023,CUST000003,Ariel Mccann,15-12-1980,Consumer,PROD000003,Fans - 395,Electric Appliances,Fans,120,India,South,Gujarat,Village,380001,3,35501.08,6,0.07,8324.21
ORD000004,10-10-2021,23-01-2021,16-10-2021,First Class,Medium,2021,CUST000004,Colleen Maynard,23-05-1989,Corporate,PROD000004,Milk - 798,Dairy Products,Milk,103,India,East,West Bengal,Village,700001,4,8969.33,4,0.18,1962.66
ORD000005,22-01-2019,24-12-2020,25-01-2019,Standard Class,Small,2021,CUST000005,Gina Holden,31-12-1957,Consumer,PROD000005,Tomatoes - 442,Sessional Fruits & Vegetables,Tomatoes,95,India,West,Delhi,Village,110001,5,35530.44,4,0.27,2843.93
ORD000006,18-12-2019,13-03-2019,22-12-2019,Second Class,Large,2019,CUST000006,Danny Stevenson,25-02-1967,Consumer,PROD000006,Milk - 915,Dairy Products,Milk,102,India,South,Tamil Nadu,Tier 2,600001,6,420.76,4,0.5,57.36
ORD000007,21-12-2020,23-11-2022,23-12-2020,Standard Class,Medium,2022,CUST000007,Stephanie Mccoy,19-10-2003,Consumer,PROD000007,Yogurt - 733,Dairy Products,Yogurt,83,India,North,Gujarat,Tier 2,380001,7,31588.07,6,0.38,2834.07
ORD000008,12-11-2021,11-03-2019,14-11-2021,Standard Class,Small,2021,CUST000008,Henry Cruz,22-05-2013,Consumer,PROD000008,Washing Machines - 559,Electric Appliances,Washing Machines,108,India,West,Rajasthan,Tier 2,302001,8,4419.87,10,0.21,691.42
ORD000009,09-03-2021,14-06-2020,10-03-2021,First Class,Large,2023,CUST000009,Kristen Lutz,08-07-2005,Corporate,PROD000009,Milk - 232,Dairy Products,Milk,43,India,South,West Bengal,Tier 2,700001,9,41494.09,2,0.09,8083.35
ORD000010,15-03-2022,30-09-2022,20-03-2022,Same Day,Medium,2022,CUST000010,Gregory Cuevas,10-04-1981,Corporate,PROD000010,Beds - 553,Furniture,Beds,4,India,South,Gujarat,Tier 1,380001,10,39717.64,3,0.27,4849.97
ORD000011,21-03-2021,25-10-2021,28-03-2021,Second Class,Medium,2019,CUST000011,Sara Yang,29-04-1956,Corporate,PROD000011,Pizzas - 134,Fast Food,Pizzas,28,India,West,Uttar Pradesh,Village,226001,11,42842.38,2,0.15,6385.44
ORD000012,19-07-2021,08-06-2023,21-07-2021,Standard Class,Small,2022,CUST000012,Kenneth Johnson,12-04-1954,Consumer,PROD000012,Mangoes - 756,Sessional Fruits & Vegetables,Mangoes,69,India,North,Madhya Pradesh,Village,462001,12,1036.8,10,0.32,157.6
ORD000013,30-07-2022,01-10-2021,03-08-2022,Standard Class,Small,2023,CUST000013,Charles Krueger,02-07-2004,Corporate,PROD000013,Chairs - 116,Furniture,Chairs,55,India,West,Punjab,Village,160001,13,39274.36,7,0.3,6536.93
ORD000014,09-02-2019,10-01-2023,16-02-2019,Standard Class,Small,2023,CUST000014,Brenda Campbell,26-03-1952,Corporate,PROD000014,Milk - 308,Dairy Products,Milk,45,India,West,Karnataka,Tier 2,560001,14,31690.81,5,0.1,3772.86
ORD000015,09-05-2023,06-05-2019,12-05-2023,Same Day,Large,2022,CUST000015,Michael Smith,24-07-1964,Consumer,PROD000015,Milk - 268,Dairy Products,Milk,113,India,West,Rajasthan,Village,302001,15,40712.36,9,0.26,6108.43
ORD000016,11-11-2022,26-05-2021,17-11-2022,Second Class,Small,2019,CUST000016,Cheryl Stewart,21-10-1950,Corporate,PROD000016,Fries - 141,Fast Food,Fries,5,India,North,West Bengal,Village,700001,16,34269.7,1,0.35,4144.5
ORD000017,28-02-2023,18-09-2021,05-03-2023,Standard Class,Large,2020,CUST000017,Timothy Harris,20-09-2015,Consumer,PROD000017,Washing Machines - 193,Electric Appliances,Washing Machines,53,India,South,Maharashtra,Tier 1,400001,17,41271.24,8,0.4,5106.34
